intent,utterance,expected_action,priority
date_context,12日,date_only_update,90
date_context,12日で,date_only_update,90
date_context,12日って,date_only_update,90
date_context,12日の,date_only_update,90
date_context,12日なんですけど,date_only_update,90
date_context,12日あたり,date_only_update,90
date_context,12日いけますか,date_only_update,90
date_context,12日どうですか,date_only_update,90
date_context,12日空いてますか,date_only_update,90
date_context,12日お願いしたい,date_only_update,90
date_context,12日にしたい,date_only_update,90
date_context,12日で見て,date_only_update,90
date_context,12日で確認して,date_only_update,90
date_context,12日やったら,date_only_update,90
date_context,12日なら,date_only_update,90
date_context,12日とか,date_only_update,90
date_context,12日くらい,date_only_update,90
date_context,12日で頼みたい,date_only_update,90
date_context,12日で取れる？,date_only_update,90
date_context,12日で入れる？,date_only_update,90
date_context,13日,date_only_update,90
date_context,13日で,date_only_update,90
date_context,13日って,date_only_update,90
date_context,13日の,date_only_update,90
date_context,13日なんですけど,date_only_update,90
date_context,13日あたり,date_only_update,90
date_context,13日いけますか,date_only_update,90
date_context,13日どうですか,date_only_update,90
date_context,13日空いてますか,date_only_update,90
date_context,13日お願いしたい,date_only_update,90
date_context,13日にしたい,date_only_update,90
date_context,13日で見て,date_only_update,90
date_context,13日で確認して,date_only_update,90
date_context,13日やったら,date_only_update,90
date_context,13日なら,date_only_update,90
date_context,13日とか,date_only_update,90
date_context,13日くらい,date_only_update,90
date_context,13日で頼みたい,date_only_update,90
date_context,13日で取れる？,date_only_update,90
date_context,13日で入れる？,date_only_update,90
date_context,14日,date_only_update,90
date_context,14日で,date_only_update,90
date_context,14日って,date_only_update,90
date_context,14日の,date_only_update,90
date_context,14日なんですけど,date_only_update,90
date_context,14日あたり,date_only_update,90
date_context,14日いけますか,date_only_update,90
date_context,14日どうですか,date_only_update,90
date_context,14日空いてますか,date_only_update,90
date_context,14日お願いしたい,date_only_update,90
date_context,14日にしたい,date_only_update,90
date_context,14日で見て,date_only_update,90
date_context,14日で確認して,date_only_update,90
date_context,14日やったら,date_only_update,90
date_context,14日なら,date_only_update,90
date_context,14日とか,date_only_update,90
date_context,14日くらい,date_only_update,90
date_context,14日で頼みたい,date_only_update,90
date_context,14日で取れる？,date_only_update,90
date_context,14日で入れる？,date_only_update,90
date_context,15日,date_only_update,90
date_context,15日で,date_only_update,90
date_context,15日って,date_only_update,90
date_context,15日の,date_only_update,90
date_context,15日なんですけど,date_only_update,90
date_context,15日あたり,date_only_update,90
date_context,15日いけますか,date_only_update,90
date_context,15日どうですか,date_only_update,90
date_context,15日空いてますか,date_only_update,90
date_context,15日お願いしたい,date_only_update,90
date_context,15日にしたい,date_only_update,90
date_context,15日で見て,date_only_update,90
date_context,15日で確認して,date_only_update,90
date_context,15日やったら,date_only_update,90
date_context,15日なら,date_only_update,90
date_context,15日とか,date_only_update,90
date_context,15日くらい,date_only_update,90
date_context,15日で頼みたい,date_only_update,90
date_context,15日で取れる？,date_only_update,90
date_context,15日で入れる？,date_only_update,90
date_context,16日,date_only_update,90
date_context,16日で,date_only_update,90
date_context,16日って,date_only_update,90
date_context,16日の,date_only_update,90
date_context,16日なんですけど,date_only_update,90
date_context,16日あたり,date_only_update,90
date_context,16日いけますか,date_only_update,90
date_context,16日どうですか,date_only_update,90
date_context,16日空いてますか,date_only_update,90
date_context,16日お願いしたい,date_only_update,90
date_context,16日にしたい,date_only_update,90
date_context,16日で見て,date_only_update,90
date_context,16日で確認して,date_only_update,90
date_context,16日やったら,date_only_update,90
date_context,16日なら,date_only_update,90
date_context,16日とか,date_only_update,90
date_context,16日くらい,date_only_update,90
date_context,16日で頼みたい,date_only_update,90
date_context,16日で取れる？,date_only_update,90
date_context,16日で入れる？,date_only_update,90
date_context,17日,date_only_update,90
date_context,17日で,date_only_update,90
date_context,17日って,date_only_update,90
date_context,17日の,date_only_update,90
date_context,17日なんですけど,date_only_update,90
date_context,17日あたり,date_only_update,90
date_context,17日いけますか,date_only_update,90
date_context,17日どうですか,date_only_update,90
date_context,17日空いてますか,date_only_update,90
date_context,17日お願いしたい,date_only_update,90
date_context,17日にしたい,date_only_update,90
date_context,17日で見て,date_only_update,90
date_context,17日で確認して,date_only_update,90
date_context,17日やったら,date_only_update,90
date_context,17日なら,date_only_update,90
date_context,17日とか,date_only_update,90
date_context,17日くらい,date_only_update,90
date_context,17日で頼みたい,date_only_update,90
date_context,17日で取れる？,date_only_update,90
date_context,17日で入れる？,date_only_update,90
date_context,18日,date_only_update,90
date_context,18日で,date_only_update,90
date_context,18日って,date_only_update,90
date_context,18日の,date_only_update,90
date_context,18日なんですけど,date_only_update,90
date_context,18日あたり,date_only_update,90
date_context,18日いけますか,date_only_update,90
date_context,18日どうですか,date_only_update,90
date_context,18日空いてますか,date_only_update,90
date_context,18日お願いしたい,date_only_update,90
date_context,18日にしたい,date_only_update,90
date_context,18日で見て,date_only_update,90
date_context,18日で確認して,date_only_update,90
date_context,18日やったら,date_only_update,90
date_context,18日なら,date_only_update,90
date_context,18日とか,date_only_update,90
date_context,18日くらい,date_only_update,90
date_context,18日で頼みたい,date_only_update,90
date_context,18日で取れる？,date_only_update,90
date_context,18日で入れる？,date_only_update,90
date_context,19日,date_only_update,90
date_context,19日で,date_only_update,90
date_context,19日って,date_only_update,90
date_context,19日の,date_only_update,90
date_context,19日なんですけど,date_only_update,90
date_context,19日あたり,date_only_update,90
date_context,19日いけますか,date_only_update,90
date_context,19日どうですか,date_only_update,90
date_context,19日空いてますか,date_only_update,90
date_context,19日お願いしたい,date_only_update,90
date_context,19日にしたい,date_only_update,90
date_context,19日で見て,date_only_update,90
date_context,19日で確認して,date_only_update,90
date_context,19日やったら,date_only_update,90
date_context,19日なら,date_only_update,90
date_context,19日とか,date_only_update,90
date_context,19日くらい,date_only_update,90
date_context,19日で頼みたい,date_only_update,90
date_context,19日で取れる？,date_only_update,90
date_context,19日で入れる？,date_only_update,90
date_context,20日,date_only_update,90
date_context,20日で,date_only_update,90
date_context,20日って,date_only_update,90
date_context,20日の,date_only_update,90
date_context,20日なんですけど,date_only_update,90
date_context,20日あたり,date_only_update,90
date_context,20日いけますか,date_only_update,90
date_context,20日どうですか,date_only_update,90
date_context,20日空いてますか,date_only_update,90
date_context,20日お願いしたい,date_only_update,90
date_context,20日にしたい,date_only_update,90
date_context,20日で見て,date_only_update,90
date_context,20日で確認して,date_only_update,90
date_context,20日やったら,date_only_update,90
date_context,20日なら,date_only_update,90
date_context,20日とか,date_only_update,90
date_context,20日くらい,date_only_update,90
date_context,20日で頼みたい,date_only_update,90
date_context,20日で取れる？,date_only_update,90
date_context,20日で入れる？,date_only_update,90
date_context,21日,date_only_update,90
date_context,21日で,date_only_update,90
date_context,21日って,date_only_update,90
date_context,21日の,date_only_update,90
date_context,21日なんですけど,date_only_update,90
date_context,21日あたり,date_only_update,90
date_context,21日いけますか,date_only_update,90
date_context,21日どうですか,date_only_update,90
date_context,21日空いてますか,date_only_update,90
date_context,21日お願いしたい,date_only_update,90
date_context,21日にしたい,date_only_update,90
date_context,21日で見て,date_only_update,90
date_context,21日で確認して,date_only_update,90
date_context,21日やったら,date_only_update,90
date_context,21日なら,date_only_update,90
date_context,21日とか,date_only_update,90
date_context,21日くらい,date_only_update,90
date_context,21日で頼みたい,date_only_update,90
date_context,21日で取れる？,date_only_update,90
date_context,21日で入れる？,date_only_update,90
date_context,22日,date_only_update,90
date_context,22日で,date_only_update,90
date_context,22日って,date_only_update,90
date_context,22日の,date_only_update,90
date_context,22日なんですけど,date_only_update,90
date_context,22日あたり,date_only_update,90
date_context,22日いけますか,date_only_update,90
date_context,22日どうですか,date_only_update,90
date_context,22日空いてますか,date_only_update,90
date_context,22日お願いしたい,date_only_update,90
date_context,22日にしたい,date_only_update,90
date_context,22日で見て,date_only_update,90
date_context,22日で確認して,date_only_update,90
date_context,22日やったら,date_only_update,90
date_context,22日なら,date_only_update,90
date_context,22日とか,date_only_update,90
date_context,22日くらい,date_only_update,90
date_context,22日で頼みたい,date_only_update,90
date_context,22日で取れる？,date_only_update,90
date_context,22日で入れる？,date_only_update,90
date_context,23日,date_only_update,90
date_context,23日で,date_only_update,90
date_context,23日って,date_only_update,90
date_context,23日の,date_only_update,90
date_context,23日なんですけど,date_only_update,90
date_context,23日あたり,date_only_update,90
date_context,23日いけますか,date_only_update,90
date_context,23日どうですか,date_only_update,90
date_context,23日空いてますか,date_only_update,90
date_context,23日お願いしたい,date_only_update,90
date_context,23日にしたい,date_only_update,90
date_context,23日で見て,date_only_update,90
date_context,23日で確認して,date_only_update,90
date_context,23日やったら,date_only_update,90
date_context,23日なら,date_only_update,90
date_context,23日とか,date_only_update,90
date_context,23日くらい,date_only_update,90
date_context,23日で頼みたい,date_only_update,90
date_context,23日で取れる？,date_only_update,90
date_context,23日で入れる？,date_only_update,90
date_context,24日,date_only_update,90
date_context,24日で,date_only_update,90
date_context,24日って,date_only_update,90
date_context,24日の,date_only_update,90
date_context,24日なんですけど,date_only_update,90
date_context,24日あたり,date_only_update,90
date_context,24日いけますか,date_only_update,90
date_context,24日どうですか,date_only_update,90
date_context,24日空いてますか,date_only_update,90
date_context,24日お願いしたい,date_only_update,90
date_context,24日にしたい,date_only_update,90
date_context,24日で見て,date_only_update,90
date_context,24日で確認して,date_only_update,90
date_context,24日やったら,date_only_update,90
date_context,24日なら,date_only_update,90
date_context,24日とか,date_only_update,90
date_context,24日くらい,date_only_update,90
date_context,24日で頼みたい,date_only_update,90
date_context,24日で取れる？,date_only_update,90
date_context,24日で入れる？,date_only_update,90
date_context,25日,date_only_update,90
date_context,25日で,date_only_update,90
date_context,25日って,date_only_update,90
date_context,25日の,date_only_update,90
date_context,25日なんですけど,date_only_update,90
date_context,25日あたり,date_only_update,90
date_context,25日いけますか,date_only_update,90
date_context,25日どうですか,date_only_update,90
date_context,25日空いてますか,date_only_update,90
date_context,25日お願いしたい,date_only_update,90
date_context,25日にしたい,date_only_update,90
date_context,25日で見て,date_only_update,90
date_context,25日で確認して,date_only_update,90
date_context,25日やったら,date_only_update,90
date_context,25日なら,date_only_update,90
date_context,25日とか,date_only_update,90
date_context,25日くらい,date_only_update,90
date_context,25日で頼みたい,date_only_update,90
date_context,25日で取れる？,date_only_update,90
date_context,25日で入れる？,date_only_update,90
date_context,26日,date_only_update,90
date_context,26日で,date_only_update,90
date_context,26日って,date_only_update,90
date_context,26日の,date_only_update,90
date_context,26日なんですけど,date_only_update,90
date_context,26日あたり,date_only_update,90
date_context,26日いけますか,date_only_update,90
date_context,26日どうですか,date_only_update,90
date_context,26日空いてますか,date_only_update,90
date_context,26日お願いしたい,date_only_update,90
date_context,26日にしたい,date_only_update,90
date_context,26日で見て,date_only_update,90
date_context,26日で確認して,date_only_update,90
date_context,26日やったら,date_only_update,90
date_context,26日なら,date_only_update,90
date_context,26日とか,date_only_update,90
date_context,26日くらい,date_only_update,90
date_context,26日で頼みたい,date_only_update,90
date_context,26日で取れる？,date_only_update,90
date_context,26日で入れる？,date_only_update,90
time_context,12時,time_only_update,90
time_context,12時で,time_only_update,90
time_context,12時から,time_only_update,90
time_context,12時くらい,time_only_update,90
time_context,12時あたり,time_only_update,90
time_context,12時でお願いします,time_only_update,90
time_context,12時いけますか,time_only_update,90
time_context,12時空いてますか,time_only_update,90
time_context,12時にしたい,time_only_update,90
time_context,12時で見て,time_only_update,90
time_context,12時で頼みたい,time_only_update,90
time_context,12時とか,time_only_update,90
time_context,12時で取れる？,time_only_update,90
time_context,12時で入れる？,time_only_update,90
time_context,12時ぐらいで,time_only_update,90
time_context,12時だったら,time_only_update,90
time_context,12時やったら,time_only_update,90
time_context,12時で大丈夫,time_only_update,90
time_context,12時でお願い,time_only_update,90
time_context,12時で確認して,time_only_update,90
time_context,13時,time_only_update,90
time_context,13時で,time_only_update,90
time_context,13時から,time_only_update,90
time_context,13時くらい,time_only_update,90
time_context,13時あたり,time_only_update,90
time_context,13時でお願いします,time_only_update,90
time_context,13時いけますか,time_only_update,90
time_context,13時空いてますか,time_only_update,90
time_context,13時にしたい,time_only_update,90
time_context,13時で見て,time_only_update,90
time_context,13時で頼みたい,time_only_update,90
time_context,13時とか,time_only_update,90
time_context,13時で取れる？,time_only_update,90
time_context,13時で入れる？,time_only_update,90
time_context,13時ぐらいで,time_only_update,90
time_context,13時だったら,time_only_update,90
time_context,13時やったら,time_only_update,90
time_context,13時で大丈夫,time_only_update,90
time_context,13時でお願い,time_only_update,90
time_context,13時で確認して,time_only_update,90
time_context,14時,time_only_update,90
time_context,14時で,time_only_update,90
time_context,14時から,time_only_update,90
time_context,14時くらい,time_only_update,90
time_context,14時あたり,time_only_update,90
time_context,14時でお願いします,time_only_update,90
time_context,14時いけますか,time_only_update,90
time_context,14時空いてますか,time_only_update,90
time_context,14時にしたい,time_only_update,90
time_context,14時で見て,time_only_update,90
time_context,14時で頼みたい,time_only_update,90
time_context,14時とか,time_only_update,90
time_context,14時で取れる？,time_only_update,90
time_context,14時で入れる？,time_only_update,90
time_context,14時ぐらいで,time_only_update,90
time_context,14時だったら,time_only_update,90
time_context,14時やったら,time_only_update,90
time_context,14時で大丈夫,time_only_update,90
time_context,14時でお願い,time_only_update,90
time_context,14時で確認して,time_only_update,90
time_context,15時,time_only_update,90
time_context,15時で,time_only_update,90
time_context,15時から,time_only_update,90
time_context,15時くらい,time_only_update,90
time_context,15時あたり,time_only_update,90
time_context,15時でお願いします,time_only_update,90
time_context,15時いけますか,time_only_update,90
time_context,15時空いてますか,time_only_update,90
time_context,15時にしたい,time_only_update,90
time_context,15時で見て,time_only_update,90
time_context,15時で頼みたい,time_only_update,90
time_context,15時とか,time_only_update,90
time_context,15時で取れる？,time_only_update,90
time_context,15時で入れる？,time_only_update,90
time_context,15時ぐらいで,time_only_update,90
time_context,15時だったら,time_only_update,90
time_context,15時やったら,time_only_update,90
time_context,15時で大丈夫,time_only_update,90
time_context,15時でお願い,time_only_update,90
time_context,15時で確認して,time_only_update,90
time_context,16時,time_only_update,90
time_context,16時で,time_only_update,90
time_context,16時から,time_only_update,90
time_context,16時くらい,time_only_update,90
time_context,16時あたり,time_only_update,90
time_context,16時でお願いします,time_only_update,90
time_context,16時いけますか,time_only_update,90
time_context,16時空いてますか,time_only_update,90
time_context,16時にしたい,time_only_update,90
time_context,16時で見て,time_only_update,90
time_context,16時で頼みたい,time_only_update,90
time_context,16時とか,time_only_update,90
time_context,16時で取れる？,time_only_update,90
time_context,16時で入れる？,time_only_update,90
time_context,16時ぐらいで,time_only_update,90
time_context,16時だったら,time_only_update,90
time_context,16時やったら,time_only_update,90
time_context,16時で大丈夫,time_only_update,90
time_context,16時でお願い,time_only_update,90
time_context,16時で確認して,time_only_update,90
time_context,17時,time_only_update,90
time_context,17時で,time_only_update,90
time_context,17時から,time_only_update,90
time_context,17時くらい,time_only_update,90
time_context,17時あたり,time_only_update,90
time_context,17時でお願いします,time_only_update,90
time_context,17時いけますか,time_only_update,90
time_context,17時空いてますか,time_only_update,90
time_context,17時にしたい,time_only_update,90
time_context,17時で見て,time_only_update,90
time_context,17時で頼みたい,time_only_update,90
time_context,17時とか,time_only_update,90
time_context,17時で取れる？,time_only_update,90
time_context,17時で入れる？,time_only_update,90
time_context,17時ぐらいで,time_only_update,90
time_context,17時だったら,time_only_update,90
time_context,17時やったら,time_only_update,90
time_context,17時で大丈夫,time_only_update,90
time_context,17時でお願い,time_only_update,90
time_context,17時で確認して,time_only_update,90
time_context,18時,time_only_update,90
time_context,18時で,time_only_update,90
time_context,18時から,time_only_update,90
time_context,18時くらい,time_only_update,90
time_context,18時あたり,time_only_update,90
time_context,18時でお願いします,time_only_update,90
time_context,18時いけますか,time_only_update,90
time_context,18時空いてますか,time_only_update,90
time_context,18時にしたい,time_only_update,90
time_context,18時で見て,time_only_update,90
time_context,18時で頼みたい,time_only_update,90
time_context,18時とか,time_only_update,90
time_context,18時で取れる？,time_only_update,90
time_context,18時で入れる？,time_only_update,90
time_context,18時ぐらいで,time_only_update,90
time_context,18時だったら,time_only_update,90
time_context,18時やったら,time_only_update,90
time_context,18時で大丈夫,time_only_update,90
time_context,18時でお願い,time_only_update,90
time_context,18時で確認して,time_only_update,90
time_context,19時,time_only_update,90
time_context,19時で,time_only_update,90
time_context,19時から,time_only_update,90
time_context,19時くらい,time_only_update,90
time_context,19時あたり,time_only_update,90
time_context,19時でお願いします,time_only_update,90
time_context,19時いけますか,time_only_update,90
time_context,19時空いてますか,time_only_update,90
time_context,19時にしたい,time_only_update,90
time_context,19時で見て,time_only_update,90
time_context,19時で頼みたい,time_only_update,90
time_context,19時とか,time_only_update,90
time_context,19時で取れる？,time_only_update,90
time_context,19時で入れる？,time_only_update,90
time_context,19時ぐらいで,time_only_update,90
time_context,19時だったら,time_only_update,90
time_context,19時やったら,time_only_update,90
time_context,19時で大丈夫,time_only_update,90
time_context,19時でお願い,time_only_update,90
time_context,19時で確認して,time_only_update,90
time_context,20時,time_only_update,90
time_context,20時で,time_only_update,90
time_context,20時から,time_only_update,90
time_context,20時くらい,time_only_update,90
time_context,20時あたり,time_only_update,90
time_context,20時でお願いします,time_only_update,90
time_context,20時いけますか,time_only_update,90
time_context,20時空いてますか,time_only_update,90
time_context,20時にしたい,time_only_update,90
time_context,20時で見て,time_only_update,90
time_context,20時で頼みたい,time_only_update,90
time_context,20時とか,time_only_update,90
time_context,20時で取れる？,time_only_update,90
time_context,20時で入れる？,time_only_update,90
time_context,20時ぐらいで,time_only_update,90
time_context,20時だったら,time_only_update,90
time_context,20時やったら,time_only_update,90
time_context,20時で大丈夫,time_only_update,90
time_context,20時でお願い,time_only_update,90
time_context,20時で確認して,time_only_update,90
time_context,21時,time_only_update,90
time_context,21時で,time_only_update,90
time_context,21時から,time_only_update,90
time_context,21時くらい,time_only_update,90
time_context,21時あたり,time_only_update,90
time_context,21時でお願いします,time_only_update,90
time_context,21時いけますか,time_only_update,90
time_context,21時空いてますか,time_only_update,90
time_context,21時にしたい,time_only_update,90
time_context,21時で見て,time_only_update,90
time_context,21時で頼みたい,time_only_update,90
time_context,21時とか,time_only_update,90
time_context,21時で取れる？,time_only_update,90
time_context,21時で入れる？,time_only_update,90
time_context,21時ぐらいで,time_only_update,90
time_context,21時だったら,time_only_update,90
time_context,21時やったら,time_only_update,90
time_context,21時で大丈夫,time_only_update,90
time_context,21時でお願い,time_only_update,90
time_context,21時で確認して,time_only_update,90
time_context,22時,time_only_update,90
time_context,22時で,time_only_update,90
time_context,22時から,time_only_update,90
time_context,22時くらい,time_only_update,90
time_context,22時あたり,time_only_update,90
time_context,22時でお願いします,time_only_update,90
time_context,22時いけますか,time_only_update,90
time_context,22時空いてますか,time_only_update,90
time_context,22時にしたい,time_only_update,90
time_context,22時で見て,time_only_update,90
time_context,22時で頼みたい,time_only_update,90
time_context,22時とか,time_only_update,90
time_context,22時で取れる？,time_only_update,90
time_context,22時で入れる？,time_only_update,90
time_context,22時ぐらいで,time_only_update,90
time_context,22時だったら,time_only_update,90
time_context,22時やったら,time_only_update,90
time_context,22時で大丈夫,time_only_update,90
time_context,22時でお願い,time_only_update,90
time_context,22時で確認して,time_only_update,90
time_context,23時,time_only_update,90
time_context,23時で,time_only_update,90
time_context,23時から,time_only_update,90
time_context,23時くらい,time_only_update,90
time_context,23時あたり,time_only_update,90
time_context,23時でお願いします,time_only_update,90
time_context,23時いけますか,time_only_update,90
time_context,23時空いてますか,time_only_update,90
time_context,23時にしたい,time_only_update,90
time_context,23時で見て,time_only_update,90
time_context,23時で頼みたい,time_only_update,90
time_context,23時とか,time_only_update,90
time_context,23時で取れる？,time_only_update,90
time_context,23時で入れる？,time_only_update,90
