intent,utterance,expected_action,forbidden_action,priority
cancel_intent,キャンセルで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめます,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約キャンセル,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消してください,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もう予約いらない,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はやめとく,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめるわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルお願い,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,ごめんキャンセル,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一回白紙で,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱキャンセル,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,キャンセルで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱやめるで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめますで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめとくで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やめときますで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫で,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫お願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫でいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫かな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫かも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫わ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫わー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫っす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫っすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫で頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫でええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫しといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫して,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫しよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫しようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫で大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,一旦大丈夫で大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしででいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしででええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消ししといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消ししよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消ししようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙ででいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙ででええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなししといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなししよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなししようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるかな,予約導線を終了する,selected_therapistへ保存しない,100
